x,y
481.191, -131.211
509.586, -151.184
510.235, -147.491
502.167, -135.314
502.69, -133.737
502.767, -131.586
502.358, -129.078
515.659, -140.373
499.189, -121.789
511.699, -132.08
517.156, -135.438
516.374, -132.644
523.326, -137.501
518.603, -130.546
525.151, -134.996
519.291, -127.118
532.113, -137.85
525.875, -129.381
531.817, -133.224
533.306, -132.614
547.181, -144.486
536.126, -131.321
537.298, -130.267
544.267, -135.137
537.655, -126.507
545.088, -131.846
552.259, -136.79
558.37, -140.802
552.336, -132.755
560.3, -138.626
564.108, -140.201
547.475, -121.469
564.856, -136.841
572.445, -142.336
563.773, -131.429
561.295, -126.851
562.351, -125.889
591.717, -153.18
580.39, -139.608
562.683, -119.801
577.63, -132.649
564.624, -117.618
571.945, -122.846
585.312, -133.993
596.067, -142.649
594.758, -139.332
594.845, -137.32
601.695, -141.938
607.238, -145.382
582.941, -119.061
604.415, -138.453
588.505, -120.31
470.383, -116.399
593.125, -122.831
472.456, -116.584
474.556, -116.3
476.724, -116.583
478.823, -116.539
480.896, -116.242
482.995, -116.96
485.163, -116.203
487.262, -117.082
489.361, -116.576
491.434, -117.119
493.534, -116.255
495.702, -116.293
497.801, -117.187
499.874, -116.571
501.973, -116.439
504.141, -116.987
506.24, -116.984
508.313, -116.796
510.412, -117.039
512.581, -116.874
514.68, -117.638
516.753, -116.588
518.852, -116.007
521.02, -116.312
523.119, -116.873
525.192, -116.979
527.291, -117.256
529.46, -116.228
531.559, -116.08
533.658, -116.686
535.731, -116.594
537.831, -115.738
539.998, -116.375
542.097, -117.152
544.171, -116.489
546.27, -116.783
548.438, -116.895
550.537, -116.941
552.61, -116.357
554.709, -116.882
556.877, -116.182
558.976, -116.523
561.049, -117.08
563.149, -116.19
565.317, -116.408
438.2, -129.324
567.416, -117.109
440.146, -129.393
569.489, -116.019
443.917, -127.724
443.469, -130.397
449.766, -126.199
455.315, -122.749
461.863, -120.324
463.979, -120.427
446.528, -139.977
458.116, -130.404
473.54, -117.091
460.754, -132.093
477.813, -117.134
467.228, -129.734
451.819, -147.229
483.148, -118.14
471.254, -132.133
475.348, -130.055
474.564, -132.937
490.274, -119.456
475.483, -136.346
462.705, -151.122
473.327, -142.607
500.074, -118.097
480.074, -140.197
493.608, -128.762
500.101, -124.288
490.553, -136.058
499.644, -129.066
508.657, -122.153
507.758, -125.071
491.331, -143.583
518.714, -118.437
500.276, -138.975
501.012, -140.246
509.29, -134.073
527.259, -118.334
520.595, -127.097
530.31, -119.406
517.834, -133.97
518.619, -135.415
529.734, -126.4
532.064, -126.088
536.111, -124.142
535.585, -126.891
536.743, -127.832
546.235, -120.362
534.719, -133.968
533.511, -139.505
527.956, -147.159
532.766, -144.352
528.771, -150.443
525.518, -155.939
529.844, -155.707
