x,y
540.282, 143.949
463.495, 184.991
463.333, 195.273
467.016, 187.853
465.431, 202.567
466.859, 204.416
473.634, 186.824
475.613, 187.409
477.371, 187.936
480.305, 185.074
482.378, 184.724
485.093, 182.851
487.645, 181.42
490.922, 178.185
493.551, 176.897
496.512, 174.646
500.362, 170.477
502.662, 170.196
504.717, 170.541
507.667, 168.728
510.919, 166.581
514.607, 163.412
517.622, 161.916
519.338, 163.154
523.802, 158.725
527.158, 156.75
525.626, 158.018
523.945, 159.467
524.267, 156.909
521.642, 160.575
520.159, 161.797
521.886, 156.227
519.78, 158.817
519.805, 157.983
519.589, 158.855
521.384, 156.072
521.923, 156.715
522.807, 157.073
524.093, 156.938
526.102, 155.815
527.118, 156.873
528.602, 157.117
534.236, 149.019
535.439, 150.278
535.608, 144.533
529.88, 151.277
526.843, 152.776
523.979, 153.982
520.696, 156.744
518.21, 158.032
515.641, 159.672
513.723, 159.931
511.492, 161.313
508.771, 164.93
508.329, 160.732
505.863, 164.046
504.138, 164.926
502.037, 167.509
501.299, 164.215
498.726, 169.83
497.477, 169.042
495.86, 170.727
494.405, 171.673
493.226, 170.66
491.892, 170.839
490.21, 174.937
489.096, 173.284
487.694, 175.589
486.442, 176.201
485.393, 174
484.127, 175.32
482.973, 177.186
481.774, 177.06
480.685, 177.476
479.594, 178.208
478.546, 178.871
477.515, 179.869
476.442, 179.819
475.431, 179.975
474.529, 181.401
473.527, 181.282
472.512, 181.587
471.696, 182.814
470.569, 181.981
469.926, 183.803
468.871, 183.412
468.177, 184.604
467.227, 184.704
466.26, 184.753
465.467, 185.208
464.804, 186.099
463.932, 186.138
463.316, 187.1
462.748, 188.065
461.765, 187.827
460.793, 187.593
460.028, 188.028
459.354, 188.618
458.409, 188.581
457.779, 189.493
457.05, 189.91
456.28, 190.287
455.435, 190.662
454.911, 191.49
453.763, 191.101
452.889, 191.578
451.814, 191.543
451.293, 192.392
450.417, 192.418
450.085, 193.07
449.366, 193.021
449.046, 193.676
451.297, 193.432
452.808, 191.847
454.993, 191.362
456.558, 190.167
458.795, 190.01
460.805, 189.712
463.208, 189.969
464.249, 187.608
466.044, 186.926
468.027, 186.389
469.48, 185.136
471.385, 184.493
473.361, 184.196
474.932, 182.777
477.192, 183.212
478.719, 182.081
479.921, 179.8
482.327, 180.725
484.031, 180.027
485.318, 178.298
487.187, 178.054
489.149, 178.346
490.72, 177.191
491.904, 174.906
493.367, 173.805
495.264, 173.899
496.929, 173.513
498.065, 171.037
499.997, 171.282
501.332, 169.717
503.036, 169.399
504.631, 168.902
506.128, 168.031
507.56, 166.647
509.09, 166.065
510.599, 165.086
512.117, 164.344
513.635, 163.726
515.032, 162.726
516.475, 161.478
518.058, 161.649
519.418, 159.58
520.71, 157.277
522.259, 157.239
523.739, 156.961
525.325, 157.323
526.786, 156.055
528.007, 152.544
529.667, 153.642
531.132, 153.196
532.657, 153.165
533.986, 150.084
535.638, 151.423
531.696, 150.906
530.335, 152.381
528.198, 150.582
527.662, 155.224
524.938, 151.264
524.024, 153.913
522.674, 156.742
519.268, 157.091
517.168, 159.523
513.382, 157.226
510.267, 156.223
509.231, 159.226
509.272, 163.863
507.028, 163.477
506.099, 165.445
504.042, 165.143
501.661, 164.246
501.669, 167.27
499.859, 167.177
497.452, 166.259
496.562, 167.651
495.527, 168.625
492.255, 166.636
493.345, 170.449
491.312, 170.198
491.999, 173.275
488.046, 170.647
486.813, 171.448
484.713, 171.242
483.66, 172.176
480.632, 171.135
481.373, 173.978
480.104, 174.716
478.595, 175.2
474.727, 173.616
475.894, 176.634
471.948, 175.123
474.947, 179.563
470.406, 177.712
467.494, 177.356
470.529, 181.519
463.872, 178.492
460.319, 177.877
461.452, 180.617
457.781, 180.061
456.538, 181.172
455.483, 182.461
453.601, 183.222
452.097, 184.289
448.022, 183.921
449.355, 186.557
445.229, 186.365
447.413, 189.358
440.337, 187.768
445.034, 191.858
436.316, 189.902
433.285, 190.613
427.488, 190.257
433.529, 194.6
428.003, 194.54
426.749, 196.039
427.791, 198.412
393.14, 189.548
410.737, 197.22
406.851, 198.315
405.667, 202.475
403.332, 204.204
498.867, 108.015
421.732, 212.298
500.186, 113.601
424.495, 209.233
497.647, 103.746
423.555, 205.415
425.026, 202.098
400.547, 191.853
432.203, 196.846
434.288, 193.856
441.441, 192.564
445.062, 190.281
449.313, 188.325
451.306, 185.662
460.344, 185.839
464.625, 184.31
468.356, 182.663
470.299, 180.323
477.068, 180.399
481.261, 179.322
484.274, 177.747
488.234, 176.798
492.857, 176.315
496.142, 175.186
498.717, 173.815
503.364, 173.722
504.503, 171.482
508.048, 170.861
513.017, 171.466
514.793, 169.79
523.645, 173.575
528.683, 174.788
530.408, 173.433
523.037, 164.357
538.752, 175.062
529.16, 163.716
535.522, 166.592
521.171, 149.772
516.29, 141.287
509.854, 130.875
505.638, 122.155
498.971, 110.384
482.444, 86.541
488.867, 88.521
485.372, 132.883
