x; y
252.477; 155.426
243.104; 143.954
222.204; 118.736
254.861; 149.369
245.795; 138.204
261.955; 152.12
240.414; 128.498
250.208; 136.275
235.193; 119.161
247.435; 129.177
237.79; 117.441
246.862; 124.488
240.842; 116.369
244.225; 117.652
246.38; 117.591
242.813; 111.928
250.022; 117.107
249.683; 114.67
255.409; 118.178
252.641; 113.314
256.197; 114.841
256.537; 113.082
269.684; 124.007
266.512; 118.74
262.298; 112.501
265.38; 113.484
272.48; 118.367
277.588; 121.372
277.847; 119.609
282.33; 121.993
277.989; 115.436
284.275; 119.619
284.191; 117.512
285.73; 116.952
286.84; 115.962
286.308; 113.217
303.525; 128.322
297.348; 120.129
298.962; 119.643
299.44; 117.905
299.535; 115.901
302.871; 117.21
307.218; 119.458
303.449; 113.475
317.343; 125.26
301.758; 107.656
311.479; 115.278
317.333; 118.914
315.049; 114.534
326.159; 123.615
321.056; 116.414
323.76; 116.902
322.033; 113.077
324.368; 113.384
210.944; 104.525
326.478; 113.394
213.043; 102.329
332.374; 117.191
215.142; 104.128
334.049; 116.65
217.305; 103.9
334.212; 114.715
219.404; 102.308
221.483; 103.393
223.582; 103.703
225.744; 102.784
227.844; 104.585
229.922; 103.657
232.021; 102.849
234.184; 104.051
236.283; 102.925
238.362; 104.07
240.461; 103.323
242.624; 104.283
244.723; 103.917
246.801; 102.217
248.9; 103.23
251.063; 102.57
253.162; 103.303
255.241; 103.504
257.34; 104.15
259.439; 103.495
261.602; 104.065
263.7; 102.033
265.779; 105.003
267.879; 103.135
270.041; 103.553
272.14; 101.831
274.219; 102.727
276.318; 103.271
278.481; 103.608
280.58; 103.629
282.658; 103.445
284.757; 102.688
286.92; 103.665
289.019; 103.892
291.098; 104.295
293.197; 104.666
295.359; 102.402
297.459; 103.579
299.537; 104.438
301.636; 103.959
176.154; 125.425
303.736; 103.638
185.873; 117.805
305.898; 103.638
187.502; 118.393
307.977; 104.564
193.721; 114.197
197.724; 112.294
190.796; 121.321
195.9; 118.433
198.117; 118.314
207.107; 111.348
204.912; 115.642
207.959; 114.809
195.07; 129.809
209.336; 117.557
210.974; 118.019
220.15; 111.052
215.053; 118.254
218.076; 117.255
218.322; 119.108
227.418; 112.223
208.438; 133.318
215.953; 127.816
228.155; 117.713
230.954; 117.129
483.487; -133.509
232.569; 117.613
233.169; 119.037
235.394; 118.912
239.125; 117.279
244.358; 114.26
244.066; 116.652
242.36; 120.383
247.198; 117.644
513.729; -146.886
248.243; 118.816
515.634; -146.692
251.32; 117.837
517.105; -145.924
256.79; 114.391
515.731; -142.451
260.899; 112.382
527.604; -152.327
257.934; 117.562
507.697; -130.305
262.695; 114.898
518.553; -138.935
260.24; 119.378
521.855; -140.137
269.828; 111.89
518.718; -134.989
266.455; 117.479
523.404; -137.579
266.507; 119.526
516.44; -128.384
268.005; 120.051
520.607; -130.452
275.559; 114.597
512.827; -120.649
275.258; 117.113
522.749; -128.479
278.55; 115.919
515.335; -118.841
276.01; 120.484
516.263; -117.669
283.31; 115.284
516.011; -115.318
267.981; 132.712
519.412; -116.694
276.516; 126.4
515.304; -110.483
275.779; 129.237
514.952; -107.92
261.8; 145.231
515.328; -106.198
264.915; 144.215
514.937; -103.77
268.07; 143.297
522.71; -109.45
283.487; 129.968
531.267; -115.798
273.447; 142.023
541.171; -123.603
263.772; 153.796
545.459; -125.873
558.241; -136.565
275.471; 146.435
567.17; -143.263
554.712; -128.706
276.192; 149.814
577.844; -149.839
586.023; -153.678
588.282; -153.838
445.065; -208.713
447.105; -198.877
449.197; -214.793
451.405; -191.462
453.504; -194.734
457.646; -192.858
459.845; -187.699
461.944; -194.461
463.995; -171.503
466.094; -171.897
468.284; -159.74
470.383; -153.385
472.443; -148.855
474.545; -141.73
476.724; -136.674
478.823; -130.424
480.893; -123.575
482.994; -118.719
485.163; -111.852
487.262; -107.049
489.361; -100.01
491.441; -100.853
493.547; -83.8979
495.702; -86.1367
497.801; -101.021
499.882; -96.7009
501.982; -94.758
504.141; -101.69
506.24; -103.733
508.318; -105.451
510.416; -107.913
512.581; -109.658
514.68; -112.35
516.754; -113.211
518.853; -114.641
521.02; -117.002
523.119; -119.566
525.19; -122.371
527.288; -125.126
529.46; -124.461
531.559; -126.119
533.658; -129.715
535.725; -131.53
537.825; -129.841
539.998; -134.46
542.097; -140.493
544.161; -139.102
546.259; -142.361
548.438; -144.786
550.537; -146.962
552.598; -146.932
554.695; -151.119
556.877; -149.636
558.976; -153.257
561.032; -160.225
563.133; -154.175
565.317; -158.163
567.416; -166.802
569.472; -158.847
571.567; -168.924
573.756; -175.851
471.916; -104.049
575.855; -184.608
473.095; -104.969
577.954; -192.19
467.526; -112.568
476.17; -106.029
477.62; -106.786
472.724; -113.781
476.27; -112.265
484.134; -106.506
477.475; -115.373
485.312; -109.635
479.749; -117.223
468.878; -130.184
486.087; -115.202
480.303; -123.085
482.974; -122.436
481.039; -126.467
491.483; -118.247
479.416; -132.413
465.556; -148.274
474.62; -141.315
500.05; -118.121
478.587; -141.683
490.956; -131.413
496.291; -128.095
485.093; -141.519
493.151; -135.56
501.237; -129.573
498.933; -133.889
480.031; -154.874
514.299; -122.852
486.589; -152.662
485.857; -155.389
493.357; -149.993
518.489; -127.104
502.787; -144.905
515.624; -134.08
496.666; -155.121
506.932; -149.202
508.017; -150.115
511.04; -149.193
508.222; -154.254
516.515; -150.058
